Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Margen
2024-12-31,Printer,Office,North,4,"$3,640",$348.93,9.59%
2024-12-31,Smartphone,Electronics,West,6,$930,$213.60,22.97%
2024-12-30,Headphones,Accessories,West,9,"$8,703","$1,562.88",17.96%
2024-12-30,Mouse,Accessories,North,1,$746,$131.25,17.59%
2024-12-30,Camera,Electronics,North,1,$379,$39.41,10.40%
2024-12-29,Laptop,Electronics,South,9,"$8,550","$1,970.98",23.05%
2024-12-29,Monitor,Accessories,South,6,"$5,004","$1,197.36",23.93%
2024-12-29,Mouse,Accessories,East,4,"$2,956",$451.60,15.28%
2024-12-29,Laptop,Electronics,South,6,"$2,364",$639.29,27.04%
2024-12-29,Printer,Office,West,5,"$2,275",$313.50,13.78%
2024-12-28,Headphones,Accessories,East,5,"$5,795",$310.60,5.36%
2024-12-28,Smartwatch,Electronics,North,5,"$3,625",$245.52,6.77%
2024-12-28,Monitor,Accessories,North,9,"$2,097",$210.59,10.04%
2024-12-28,Smartwatch,Electronics,East,4,"$1,284",$171.02,13.32%
2024-12-28,Laptop,Electronics,East,2,$208,$11.53,5.54%
2024-12-27,Tablet,Electronics,East,4,"$3,532",$665.20,18.83%
2024-12-27,Keyboard,Accessories,West,3,"$1,851",$348.90,18.85%
2024-12-27,Laptop,Electronics,West,3,"$1,368",$302.29,22.10%
2024-12-27,Smartwatch,Electronics,North,2,"$1,206",$307.02,25.46%
2024-12-26,Monitor,Accessories,West,6,"$3,828","$1,102.86",28.81%
2024-12-26,Smartwatch,Electronics,South,8,"$2,888",$149.92,5.19%
2024-12-26,Monitor,Accessories,West,7,"$1,575",$313.96,19.93%
2024-12-26,Headphones,Accessories,North,5,$505,$93.85,18.58%
2024-12-26,Mouse,Accessories,South,1,$106,$7.24,6.83%
2024-12-25,Smartwatch,Electronics,East,9,"$4,950","$1,402.67",28.34%
2024-12-25,Camera,Electronics,South,4,"$4,644",$277.26,5.97%
2024-12-25,Smartphone,Electronics,West,3,"$3,588",$958.84,26.72%
2024-12-25,Camera,Electronics,West,5,"$2,525",$699.74,27.71%
2024-12-25,Headphones,Accessories,West,2,"$1,944",$332.55,17.11%
2024-12-25,Headphones,Accessories,East,1,$773,$181.52,23.48%
2024-12-24,Printer,Office,South,9,"$8,370","$1,064.65",12.72%
2024-12-24,Smartwatch,Electronics,East,7,"$5,726",$976.14,17.05%
2024-12-24,Smartwatch,Electronics,South,7,"$4,585",$383.97,8.37%
2024-12-24,Tablet,Electronics,West,7,"$4,137",$221.66,5.36%
2024-12-24,Monitor,Accessories,West,5,"$2,945",$672.35,22.83%
2024-12-24,Tablet,Electronics,West,6,"$2,676",$646.70,24.17%
2024-12-24,Laptop,Electronics,North,2,"$1,584",$406.25,25.65%
2024-12-24,Tablet,Electronics,North,9,"$1,359",$187.72,13.81%
